

 + Main results

   HIT=	57,8 	MPa *not real
   EIT=	24 	GPa *not real
   E*=	2	GPa *not real

 + Hypothesis

   Poisson's ratio(nu)=	0,1 

 + Additional results

   HVIT=	 	 Vickers
   CIT	3,29 	%
   nIT=	
   Fmax=	1,00 	mN
   hmax=	0,8
   S=	=
   F/S²=	==
   hc= 100 	nm
   hr=	85 	nm
   hp=	61 	nm
   m=	1,7323 
   Epsilon=	0,74 
   R2=	0,999
   Ap=	109 	nm²
   Welast=	5,68 pJ
   Wplast=	25,79 pJ
   Wtotal=	31,47 pJ
   Er=	220 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
28,3386	75,6554	0,9453	0,5003	1
28,4033	75,7662	0,9476	0,5003	1
28,468	75,8782	0,9497	0,5003	1
28,5327	75,9857	0,9518	0,5003	1
28,5974	76,0887	0,954	0,5003	1
28,6621	76,1895	0,9562	0,5003	1
28,7268	76,2876	0,9584	0,5003	1
28,7915	76,3819	0,9605	0,5003	1
28,8562	76,4659	0,9626	0,5003	1
28,9209	76,5461	0,9648	0,5003	1
28,9856	76,6217	0,967	0,5003	1
29,0503	76,7114	0,9691	0,5002	1
29,115	76,8081	0,9712	0,5002	1
29,1797	76,9152	0,9734	0,5002	1
29,2444	77,0089	0,9755	0,5003	1
29,3091	77,0964	0,9777	0,5003	1
29,3738	77,1842	0,9799	0,5003	1
29,4385	77,2867	0,9821	0,5003	1
29,5032	77,3992	0,9841	0,5003	1
29,5679	77,5107	0,9864	0,5003	1
29,6326	77,6156	0,9885	0,5003	2
29,6973	77,714	0,9907	0,5003	2
29,762	77,7904	0,9928	0,5003	2
29,8267	77,8689	0,995	0,5003	2
29,8914	77,9518	0,9972	0,5003	2
29,9561	78,0536	0,9989	0,5003	2
30,0208	78,1507	1,0002	0,5003	2
30,0855	78,2316	1,0009	0,5003	2
30,1502	78,2995	1,0011	0,5003	2
30,2149	78,3649	1,0011	0,5003	2
30,2796	78,435	1,001	0,5003	2
30,3443	78,5177	1,0011	0,5004	2
30,409	78,608	1,0011	0,5004	2
30,4737	78,7093	1,001	0,5003	2
30,5384	78,795	1,0011	0,5003	2
30,6031	78,8695	1,0011	0,5003	2
30,6678	78,9313	1,0011	0,5003	2
30,7325	78,9912	1,0011	0,5003	2
30,7972	79,0494	1,0011	0,5003	2
30,8619	79,0969	1,0011	0,5003	2
30,9266	79,1434	1,0011	0,5003	2
30,9913	79,189	1,001	0,5003	2
31,056	79,244	1,0011	0,5003	2
31,1207	79,2962	1,0011	0,5003	2
31,1854	79,3394	1,001	0,5003	2
31,2501	79,3731	1,0011	0,5003	2
31,3148	79,4022	1,0011	0,5003	2
31,3795	79,4254	1,0011	0,5003	2
31,4442	79,4499	1,0011	0,5003	2
31,5089	79,4759	1,0011	0,5003	2
31,5736	79,507	1,0011	0,5003	2
31,6383	79,5364	1,0011	0,5003	2
31,703	79,5643	1,0011	0,5003	2
31,7677	79,5866	1,0011	0,5003	2
31,8324	79,6021	1,0011	0,5003	2
31,8971	79,6109	1,0011	0,5003	2
31,9618	79,6291	1,0011	0,5003	2
32,0265	79,6477	1,0011	0,5003	2
32,0912	79,6664	1,0011	0,5003	2
32,1559	79,6909	1,0011	0,5003	2
32,2206	79,7109	1,0011	0,5003	2
32,2853	79,7193	1,0011	0,5003	2
32,35	79,7333	1,0011	0,5003	2
32,4147	79,7517	1,0011	0,5003	2
32,4794	79,7793	1,0011	0,5003	2
32,5441	79,8037	1,0011	0,5003	2
32,6088	79,8263	1,0011	0,5003	2
32,6735	79,8466	1,0011	0,5002	2
32,7382	79,8654	1,0011	0,5002	2
32,8029	79,8831	1,001	0,5002	2
32,8676	79,9008	1,0011	0,5003	2
32,9323	79,9161	1,0011	0,5003	2
32,997	79,929	1,001	0,5003	2
33,0617	79,9405	1,0011	0,5003	2
33,1264	79,9521	1,0011	0,5003	2
33,1911	79,964	1,0011	0,5002	2
33,2558	79,9713	1,0011	0,5002	2
33,3205	79,9774	1,0011	0,5002	2
33,3852	79,9828	1,0011	0,5002	2
33,4499	79,9857	1,0011	0,5002	2
33,5146	79,9901	1,0011	0,5002	2
33,5793	80,0028	1,0011	0,5003	2
33,644	80,0217	1,0011	0,5002	2
33,7087	80,0445	1,0011	0,5002	2
33,7734	80,0726	1,0011	0,5002	2
33,8381	80,0941	1,0011	0,5002	2
33,9028	80,1113	1,0011	0,5002	2
33,9675	80,1333	1,0011	0,5003	2
34,0322	80,1511	1,0011	0,5003	2
34,0969	80,1647	1,001	0,5003	2
34,1616	80,1745	1,001	0,5003	2
34,2263	80,1854	1,001	0,5003	2
34,291	80,1982	1,001	0,5003	2
34,3557	80,2031	1,0011	0,5003	2
38,1083	79,6459	0,8979	0,5003	3
38,173	79,6298	0,8956	0,5003	3
38,2377	79,6109	0,8934	0,5003	3
38,3024	79,5902	0,8914	0,5003	3
38,3671	79,5798	0,8892	0,5003	3
38,4318	79,5688	0,887	0,5003	3
38,4965	79,5572	0,8848	0,5003	3
38,5612	79,5384	0,8827	0,5003	3
38,6259	79,5166	0,8806	0,5003	3
38,6906	79,4909	0,8784	0,5002	3
38,7553	79,4703	0,8762	0,5003	3
41,5374	78,5868	0,7835	0,5003	3
41,6021	78,5596	0,7814	0,5003	3
41,6668	78,535	0,7792	0,5003	3
41,7315	78,5093	0,777	0,5003	3
44,3842	77,4623	0,6886	0,5003	3
44,4489	77,4434	0,6864	0,5003	3
44,5136	77,4187	0,6843	0,5003	3
44,5783	77,3836	0,6821	0,5003	3
44,643	77,3553	0,6799	0,5003	3
44,7077	77,332	0,6778	0,5003	3
44,7724	77,3211	0,6756	0,5003	3
44,8371	77,3105	0,6735	0,5003	3
44,9018	77,2998	0,6714	0,5003	3
45,6135	77,0342	0,6476	0,5003	3
45,6782	77,0153	0,6455	0,5003	3
45,7429	76,9889	0,6433	0,5003	3
45,8076	76,9588	0,6412	0,5003	3
45,8723	76,9289	0,639	0,5003	3
